annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
1,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12300488|12300489
2,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12300487|12300488
3,Elevation A,Elevation,Dimensions,Linear Dimension Style,127.94,0.0,0.0,Linear Dimension Style,12300487|12300488
4,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12300593|12300594
5,Elevation A,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12300592|12300593
6,Elevation A,Elevation,Dimensions,Linear Dimension Style,127.94,0.0,0.0,Linear Dimension Style,12300592|12300593
7,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|2446354|8984305
8,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|8738655|8984305
9,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12286941|12299810|12307920|12287082
10,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,8738655|12307787|8984305
11,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,8984305|12288089|12307746|12307920|12287082
12,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,2830.00,0.0,0.0,WH_Arial_2.5mm_Transparent,12287082|12312011
13,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12287082|12287082|12288087|12288087
14,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12288087|12286941|12287082
15,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|8984305|12307373
16,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,85.00,0.0,0.0,WH_Arial_2.5mm_Transparent,12307519|8984305
17,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|8738334|12307157
18,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12287082|12319757|12320324
19,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|2446354|12287082
20,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|12287082|12287082
21,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12287082|12303080|12287082
22,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12287082|12301167|12309639|12309639|12287244
23,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,8425.00,0.0,0.0,WH_Arial_2.5mm_Transparent,12287082|12287244
24,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12301167|12287082|12287244|12309639
25,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12287082|12303080|12309389|8738397|12287244
26,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|12302708|12302202
27,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|8738334|12301826
28,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12287244|2446354|2446422
29,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12322058|8738334|2446354
30,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12354195|12290125|12287244|12287244
31,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12313437|12310524|12310414|12287244
32,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|2446354|12288085
33,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|12288085|12288085
34,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12288085|12324206|12324281|12288085
35,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12287244|12309389|12309639|12287244
36,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,8738655|8738655|12324375|8984305
37,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12324281|12324281|12332369|12332369|12386425
38,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,8738655|12332369|12297520
39,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,12324206|12324206|12322099|8984305
40,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12311379|12297520
41,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324206|8738397
42,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324206|8738397
43,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324206|8738397
44,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324206|8738397
45,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324426|12322099
46,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324375|8984305
47,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324375|8984305
48,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324375|12288089
49,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324281|12290125
50,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324281|12290125
51,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324281|12290125
52,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12324281|12288085
53,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12335420|12335421
54,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12335419|12335420
55,Elevation B,Elevation,Dimensions,Linear Dimension Style,127.94,0.0,0.0,Linear Dimension Style,12335419|12335420
56,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12335431|12335432
57,Elevation B,Elevation,Dimensions,Linear Dimension Style,73.86,0.0,0.0,Linear Dimension Style,12335430|12335431
58,Elevation B,Elevation,Dimensions,Linear Dimension Style,127.94,0.0,0.0,Linear Dimension Style,12335430|12335431
